"State/UTs","Primary Schools 2012-13","All Schools 2012-13"
"Andaman & Nicobar Islands","81.96","84.12"
"Andhra Pradesh","98.03","97.83"
"Arunachal Pradesh","78.02","80.67"
"Assam","96.08","95.80"
"Bihar","92.95","93.12"
"Chandigarh","100.00","95.45"
"Chhattisgarh","91.27","90.86"
"Dadra & Nagar Haveli","99.38","98.91"
"Daman & Diu","95.83","86.60"
"Delhi","96.77","94.53"
"Goa","90.24","88.06"
"Gujarat","96.54","96.30"
"Haryana","96.59","96.42"
"Himachal Pradesh","80.44","79.86"
"Jammu & Kashmir","96.32","96.90"
"Jharkhand","94.56","94.77"
"Karnataka","97.08","96.87"
"Kerala","90.55","89.57"
"Lakshadweep","94.44","77.27"
"Madhya Pradesh","85.99","86.05"
"Maharashtra","97.72","97.25"
"Manipur","74.29","79.63"
"Meghalaya","93.34","92.96"
"Mizoram","81.47","76.88"
"Nagaland","86.73","80.87"
"Odisha","89.05","88.80"
"Puducherry","98.39","96.54"
"Punjab","97.44","94.95"
"Rajasthan","94.39","94.08"
"Sikkim","85.12","85.80"
"Tamil Nadu","99.42","99.13"
"Tripura","96.93","97.55"
"Uttar Pradesh","92.28","91.55"
"Uttarakhand","97.58","96.83"
"West Bengal","89.87","89.00"
